registration_id,event_name,event_type,event_format,registration_date,event_date,channel_source,job_title,industry,company_size,attendance_status,sessions_registered,sessions_attended,engagement_score,survey_completed,acquisition_cost
61,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,LinkedIn Ad,VP Marketing,Finance,5000+,Attended,4,2,5,No,41.84
62,Tech Summit 2024,Flagship,In-Person,2024-03-05,2024-03-15,LinkedIn Ad,Marketing Manager,Technology,5000+,Attended,2,2,7,No,35.5
63,Tech Summit 2024,Flagship,In-Person,2024-01-16,2024-03-15,Google Search,Product Manager,Retail,51-200,No-Show,5,0,1,No,25.83
64,Tech Summit 2024,Flagship,In-Person,2024-03-12,2024-03-15,LinkedIn Ad,Solutions Architect,Finance,5000+,Attended,5,4,4,No,40.11
65,Tech Summit 2024,Flagship,In-Person,2024-01-16,2024-03-15,LinkedIn Ad,IT Director,Healthcare,51-200,Attended,4,3,7,No,25.55
66,Tech Summit 2024,Flagship,In-Person,2024-01-30,2024-03-15,Social Media,Program Manager,Manufacturing,201-1000,Cancelled,3,0,0,No,19.74
67,Tech Summit 2024,Flagship,In-Person,2024-02-22,2024-03-15,Direct/Website,Data Analyst,Media,51-200,Attended,8,1,4,No,1.34
68,Tech Summit 2024,Flagship,In-Person,2024-01-16,2024-03-15,Google Search,Program Manager,Education,51-200,Attended,9,3,6,No,30.72
69,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,Social Media,Marketing Manager,Media,201-1000,Attended,7,7,7,No,15.26
70,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Social Media,Product Manager,Technology,1-50,Attended,3,3,5,No,15.1
71,Tech Summit 2024,Flagship,In-Person,2024-02-29,2024-03-15,Email Campaign,Data Engineer,Education,5000+,Attended,6,5,9,Yes,2.11
72,Tech Summit 2024,Flagship,In-Person,2024-03-08,2024-03-15,Email Campaign,Data Engineer,Healthcare,51-200,No-Show,6,0,1,No,7.95
73,Tech Summit 2024,Flagship,In-Person,2024-02-02,2024-03-15,LinkedIn Ad,Marketing Manager,Manufacturing,1-50,Attended,5,5,7,No,30.55
74,Tech Summit 2024,Flagship,In-Person,2024-02-11,2024-03-15,Email Campaign,Digital Marketing Specialist,Healthcare,51-200,Attended,9,9,2,Yes,4.86
75,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,LinkedIn Ad,IT Director,Finance,201-1000,Attended,2,2,4,No,41.83
76,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,LinkedIn Ad,Data Engineer,Technology,201-1000,Attended,3,1,5,Yes,42.9
77,Tech Summit 2024,Flagship,In-Person,2024-02-01,2024-03-15,Social Media,CTO,Technology,51-200,Attended,7,7,5,Yes,9.43
78,Tech Summit 2024,Flagship,In-Person,2024-02-19,2024-03-15,Google Search,Software Developer,Finance,1001-5000,No-Show,6,0,1,No,14.49
79,Tech Summit 2024,Flagship,In-Person,2024-02-26,2024-03-15,Email Campaign,Digital Marketing Specialist,Healthcare,1001-5000,No-Show,1,0,1,No,2.35
80,Tech Summit 2024,Flagship,In-Person,2024-03-07,2024-03-15,Direct/Website,Software Developer,Finance,1001-5000,Attended,3,3,5,Yes,0.33
81,Tech Summit 2024,Flagship,In-Person,2024-02-16,2024-03-15,Google Search,Data Analyst,Finance,1001-5000,No-Show,5,0,3,No,25.96
82,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,Direct/Website,VP Marketing,Media,201-1000,Cancelled,4,0,0,No,0.32
83,Tech Summit 2024,Flagship,In-Person,2024-01-22,2024-03-15,Social Media,VP Marketing,Healthcare,5000+,Attended,5,4,9,Yes,13.54
84,Tech Summit 2024,Flagship,In-Person,2024-02-22,2024-03-15,Email Campaign,CTO,Manufacturing,1001-5000,Attended,6,3,9,No,7.16
85,Tech Summit 2024,Flagship,In-Person,2024-03-04,2024-03-15,Direct/Website,Marketing Manager,Finance,1001-5000,Attended,2,1,6,Yes,1.14
86,Tech Summit 2024,Flagship,In-Person,2024-03-03,2024-03-15,Email Campaign,Digital Marketing Specialist,Media,201-1000,Attended,1,1,5,Yes,5.25
87,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Social Media,VP Marketing,Education,5000+,No-Show,3,0,2,No,13.59
88,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Google Search,Solutions Architect,Media,1-50,Cancelled,6,0,0,No,22.33
89,Tech Summit 2024,Flagship,In-Person,2024-01-25,2024-03-15,Social Media,CTO,Retail,51-200,No-Show,8,0,1,No,8.68
90,Tech Summit 2024,Flagship,In-Person,2024-02-07,2024-03-15,Direct/Website,VP Marketing,Retail,51-200,No-Show,7,0,2,No,1.26
91,Tech Summit 2024,Flagship,In-Person,2024-02-29,2024-03-15,Email Campaign,CTO,Retail,51-200,Attended,9,6,3,No,4.67
92,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,Social Media,CTO,Manufacturing,1001-5000,Attended,5,3,6,Yes,17.99
93,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,LinkedIn Ad,Marketing Manager,Manufacturing,51-200,No-Show,1,0,2,No,39.17
94,Tech Summit 2024,Flagship,In-Person,2024-02-06,2024-03-15,Email Campaign,Product Manager,Finance,201-1000,Cancelled,3,0,0,No,4.71
95,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,Email Campaign,Product Manager,Technology,5000+,Attended,8,7,2,No,2.75
96,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,LinkedIn Ad,Digital Marketing Specialist,Technology,1001-5000,No-Show,2,0,1,No,15.53
97,Tech Summit 2024,Flagship,In-Person,2024-02-24,2024-03-15,Direct/Website,CTO,Healthcare,1001-5000,No-Show,9,0,1,No,0.81
98,Tech Summit 2024,Flagship,In-Person,2024-02-05,2024-03-15,Google Search,Data Analyst,Retail,51-200,Attended,2,2,4,No,19.39
99,Tech Summit 2024,Flagship,In-Person,2024-02-22,2024-03-15,LinkedIn Ad,VP Marketing,Finance,1001-5000,Attended,1,1,2,Yes,20.05
100,Tech Summit 2024,Flagship,In-Person,2024-02-17,2024-03-15,Email Campaign,Product Manager,Retail,1-50,Attended,4,3,10,Yes,5.3
101,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Google Search,Marketing Manager,Technology,5000+,Attended,3,2,7,No,23.31
102,Tech Summit 2024,Flagship,In-Person,2024-02-18,2024-03-15,LinkedIn Ad,Business Analyst,Manufacturing,1-50,Attended,2,1,4,No,18.21
103,Tech Summit 2024,Flagship,In-Person,2024-01-29,2024-03-15,LinkedIn Ad,Digital Marketing Specialist,Education,1001-5000,Attended,6,6,10,No,20.24
104,Tech Summit 2024,Flagship,In-Person,2024-02-24,2024-03-15,Email Campaign,Data Analyst,Media,5000+,No-Show,2,0,1,No,6.6
105,Tech Summit 2024,Flagship,In-Person,2024-01-26,2024-03-15,Email Campaign,CTO,Technology,201-1000,Attended,11,10,7,Yes,2.85
106,Tech Summit 2024,Flagship,In-Person,2024-01-28,2024-03-15,Referral,Data Analyst,Retail,51-200,Attended,5,4,3,Yes,0.21
107,Tech Summit 2024,Flagship,In-Person,2024-01-30,2024-03-15,Direct/Website,Software Developer,Manufacturing,1001-5000,Attended,8,2,4,No,0.73
108,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,Email Campaign,Business Analyst,Retail,201-1000,Attended,2,2,7,Yes,6.93
109,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,Email Campaign,Software Developer,Technology,51-200,No-Show,1,0,1,No,3.54
110,Tech Summit 2024,Flagship,In-Person,2024-02-02,2024-03-15,LinkedIn Ad,Solutions Architect,Retail,5000+,Attended,1,1,7,Yes,28.42
111,Tech Summit 2024,Flagship,In-Person,2024-03-02,2024-03-15,LinkedIn Ad,Marketing Manager,Healthcare,51-200,No-Show,5,0,2,No,39.18
112,Tech Summit 2024,Flagship,In-Person,2024-02-29,2024-03-15,Email Campaign,Software Developer,Healthcare,201-1000,No-Show,2,0,1,No,2.8
113,Tech Summit 2024,Flagship,In-Person,2024-02-18,2024-03-15,LinkedIn Ad,Program Manager,Media,5000+,No-Show,2,0,1,No,38.3
114,Tech Summit 2024,Flagship,In-Person,2024-03-12,2024-03-15,Email Campaign,CTO,Healthcare,5000+,Attended,5,3,6,Yes,3.27
115,Tech Summit 2024,Flagship,In-Person,2024-01-28,2024-03-15,Email Campaign,Software Developer,Media,5000+,Attended,1,1,6,No,5.69
116,Tech Summit 2024,Flagship,In-Person,2024-02-16,2024-03-15,LinkedIn Ad,Business Analyst,Education,1-50,Attended,6,5,6,Yes,29.44
117,Tech Summit 2024,Flagship,In-Person,2024-02-17,2024-03-15,LinkedIn Ad,Program Manager,Finance,201-1000,Attended,5,5,6,Yes,29.98
118,Tech Summit 2024,Flagship,In-Person,2024-01-22,2024-03-15,LinkedIn Ad,Data Analyst,Finance,51-200,No-Show,5,0,1,No,18.06
119,Tech Summit 2024,Flagship,In-Person,2024-02-03,2024-03-15,Email Campaign,CTO,Media,201-1000,Attended,3,2,9,Yes,5.11
120,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Google Search,Program Manager,Healthcare,201-1000,Cancelled,4,0,0,No,17.41
121,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,LinkedIn Ad,Marketing Manager,Healthcare,1-50,No-Show,6,0,2,No,30.44
122,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Email Campaign,Program Manager,Finance,201-1000,No-Show,6,0,1,No,2.75
123,Tech Summit 2024,Flagship,In-Person,2024-02-26,2024-03-15,Email Campaign,IT Director,Manufacturing,1-50,No-Show,3,0,2,No,5.3
124,Tech Summit 2024,Flagship,In-Person,2024-02-08,2024-03-15,Google Search,Solutions Architect,Manufacturing,201-1000,Attended,1,1,7,No,28.7
125,Tech Summit 2024,Flagship,In-Person,2024-02-15,2024-03-15,Email Campaign,VP Marketing,Healthcare,201-1000,Attended,5,4,3,No,3.28
126,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Email Campaign,Digital Marketing Specialist,Technology,51-200,No-Show,8,0,1,No,3.48
127,Tech Summit 2024,Flagship,In-Person,2024-01-28,2024-03-15,Direct/Website,CTO,Retail,201-1000,Attended,5,1,6,No,1.49
128,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,Direct/Website,Software Developer,Retail,1-50,Attended,4,3,9,No,1.39
129,Tech Summit 2024,Flagship,In-Person,2024-02-26,2024-03-15,LinkedIn Ad,Program Manager,Healthcare,1-50,Attended,3,1,5,No,31.82
130,Tech Summit 2024,Flagship,In-Person,2024-02-24,2024-03-15,Google Search,Program Manager,Healthcare,201-1000,Attended,10,6,7,No,28.39
131,Tech Summit 2024,Flagship,In-Person,2024-01-20,2024-03-15,Direct/Website,Software Developer,Education,51-200,Attended,4,4,5,Yes,1.48
132,Tech Summit 2024,Flagship,In-Person,2024-03-01,2024-03-15,LinkedIn Ad,Data Analyst,Education,51-200,No-Show,6,0,1,No,22.78
133,Tech Summit 2024,Flagship,In-Person,2024-02-07,2024-03-15,Referral,Software Developer,Technology,1001-5000,Attended,7,2,6,No,1.2
134,Tech Summit 2024,Flagship,In-Person,2024-02-19,2024-03-15,Email Campaign,Digital Marketing Specialist,Retail,51-200,Attended,7,3,8,No,4.23
135,Tech Summit 2024,Flagship,In-Person,2024-01-17,2024-03-15,Social Media,Program Manager,Manufacturing,1-50,Attended,7,6,5,No,23.93
136,Tech Summit 2024,Flagship,In-Person,2024-02-22,2024-03-15,LinkedIn Ad,Business Analyst,Technology,1-50,Attended,5,1,7,No,18.42
137,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,Referral,Marketing Manager,Finance,51-200,Attended,6,1,6,No,2.55
138,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Social Media,Software Developer,Manufacturing,1001-5000,No-Show,8,0,1,No,22.83
139,Tech Summit 2024,Flagship,In-Person,2024-01-18,2024-03-15,LinkedIn Ad,VP Marketing,Retail,1-50,Attended,4,2,4,Yes,44.55
140,Tech Summit 2024,Flagship,In-Person,2024-02-08,2024-03-15,LinkedIn Ad,CTO,Media,51-200,Attended,3,2,6,Yes,17.82
141,Tech Summit 2024,Flagship,In-Person,2024-02-23,2024-03-15,Email Campaign,Digital Marketing Specialist,Education,1001-5000,Attended,5,3,4,No,3.01
142,Tech Summit 2024,Flagship,In-Person,2024-01-28,2024-03-15,Social Media,IT Director,Technology,1001-5000,Attended,3,2,4,No,10.21
143,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,Direct/Website,Program Manager,Technology,5000+,Attended,5,4,6,No,0.63
144,Tech Summit 2024,Flagship,In-Person,2024-02-21,2024-03-15,Email Campaign,Data Analyst,Education,1001-5000,No-Show,5,0,1,No,7.43
145,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,LinkedIn Ad,VP Marketing,Media,201-1000,Cancelled,2,0,0,No,35.59
146,Tech Summit 2024,Flagship,In-Person,2024-02-18,2024-03-15,Direct/Website,Marketing Manager,Healthcare,1-50,Attended,3,1,9,Yes,1.53
147,Tech Summit 2024,Flagship,In-Person,2024-02-16,2024-03-15,Social Media,Data Engineer,Manufacturing,1-50,No-Show,6,0,1,No,8.31
148,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Email Campaign,Software Developer,Manufacturing,5000+,No-Show,4,0,1,No,7.89
149,Tech Summit 2024,Flagship,In-Person,2024-02-03,2024-03-15,Google Search,Software Developer,Retail,51-200,Cancelled,4,0,0,No,17.43
150,Tech Summit 2024,Flagship,In-Person,2024-01-28,2024-03-15,Direct/Website,Program Manager,Technology,5000+,Attended,7,5,5,Yes,1.32
151,Tech Summit 2024,Flagship,In-Person,2024-03-05,2024-03-15,Email Campaign,Solutions Architect,Retail,1-50,Attended,5,4,8,No,4.79
152,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Direct/Website,Data Analyst,Education,1001-5000,Attended,6,4,10,No,1.27
153,Tech Summit 2024,Flagship,In-Person,2024-02-16,2024-03-15,Google Search,Solutions Architect,Technology,1-50,Attended,1,1,6,Yes,25.27
154,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,Email Campaign,Product Manager,Healthcare,201-1000,No-Show,5,0,1,No,4.38
155,Tech Summit 2024,Flagship,In-Person,2024-02-02,2024-03-15,LinkedIn Ad,Program Manager,Education,1-50,Attended,3,3,5,Yes,26.84
156,Tech Summit 2024,Flagship,In-Person,2024-02-04,2024-03-15,Social Media,Data Analyst,Technology,1001-5000,No-Show,3,0,1,No,18.14
157,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,Email Campaign,Solutions Architect,Healthcare,5000+,Attended,9,2,7,No,5.59
158,Tech Summit 2024,Flagship,In-Person,2024-02-05,2024-03-15,Social Media,CTO,Media,1-50,No-Show,1,0,1,No,21.74
159,Tech Summit 2024,Flagship,In-Person,2024-02-22,2024-03-15,Email Campaign,Business Analyst,Healthcare,51-200,Attended,5,1,10,Yes,6.73
160,Tech Summit 2024,Flagship,In-Person,2024-01-20,2024-03-15,LinkedIn Ad,Program Manager,Healthcare,201-1000,No-Show,2,0,1,No,41.7
161,Tech Summit 2024,Flagship,In-Person,2024-02-16,2024-03-15,LinkedIn Ad,VP Marketing,Healthcare,201-1000,Attended,5,2,4,No,31.79
162,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Referral,Solutions Architect,Retail,51-200,Attended,3,2,3,Yes,1.42
163,Tech Summit 2024,Flagship,In-Person,2024-01-25,2024-03-15,Social Media,Digital Marketing Specialist,Media,201-1000,Attended,4,1,4,Yes,17.21
164,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,LinkedIn Ad,Data Analyst,Healthcare,1001-5000,Attended,5,4,7,No,32.49
165,Tech Summit 2024,Flagship,In-Person,2024-02-21,2024-03-15,Email Campaign,Solutions Architect,Education,1001-5000,Attended,7,5,5,Yes,7.12
166,Tech Summit 2024,Flagship,In-Person,2024-01-20,2024-03-15,Email Campaign,Business Analyst,Finance,1001-5000,No-Show,4,0,1,No,7.82
167,Tech Summit 2024,Flagship,In-Person,2024-02-10,2024-03-15,Email Campaign,Business Analyst,Education,201-1000,Attended,3,1,6,Yes,6.35
168,Tech Summit 2024,Flagship,In-Person,2024-03-05,2024-03-15,Email Campaign,Business Analyst,Finance,5000+,Cancelled,1,0,0,No,3.79
169,Tech Summit 2024,Flagship,In-Person,2024-03-11,2024-03-15,Email Campaign,Data Analyst,Media,201-1000,No-Show,5,0,2,No,3.67
170,Tech Summit 2024,Flagship,In-Person,2024-02-18,2024-03-15,Direct/Website,Software Developer,Manufacturing,201-1000,Attended,8,8,5,No,1.23
171,Tech Summit 2024,Flagship,In-Person,2024-03-11,2024-03-15,LinkedIn Ad,Marketing Manager,Finance,5000+,No-Show,5,0,1,No,17.31
172,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,Direct/Website,IT Director,Education,201-1000,Attended,8,6,7,Yes,1.1
173,Tech Summit 2024,Flagship,In-Person,2024-02-21,2024-03-15,Google Search,Software Developer,Education,201-1000,Attended,10,10,6,No,15.87
174,Tech Summit 2024,Flagship,In-Person,2024-02-25,2024-03-15,Direct/Website,Solutions Architect,Manufacturing,1-50,Attended,2,2,9,No,0.0
175,Tech Summit 2024,Flagship,In-Person,2024-01-24,2024-03-15,Email Campaign,VP Marketing,Retail,201-1000,Attended,1,1,6,No,7.2
176,Tech Summit 2024,Flagship,In-Person,2024-01-16,2024-03-15,Email Campaign,Data Analyst,Retail,1-50,Attended,3,1,6,No,2.03
177,Tech Summit 2024,Flagship,In-Person,2024-02-22,2024-03-15,Email Campaign,CTO,Education,51-200,Attended,1,1,7,No,4.6
178,Tech Summit 2024,Flagship,In-Person,2024-02-07,2024-03-15,Google Search,VP Marketing,Media,1001-5000,No-Show,3,0,1,No,29.91
179,Tech Summit 2024,Flagship,In-Person,2024-02-15,2024-03-15,Direct/Website,Product Manager,Finance,5000+,No-Show,8,0,3,No,1.65
180,Tech Summit 2024,Flagship,In-Person,2024-02-19,2024-03-15,LinkedIn Ad,CTO,Retail,51-200,No-Show,10,0,1,No,37.09
181,Tech Summit 2024,Flagship,In-Person,2024-02-05,2024-03-15,LinkedIn Ad,Product Manager,Technology,1-50,No-Show,1,0,1,No,15.51
182,Tech Summit 2024,Flagship,In-Person,2024-03-07,2024-03-15,Direct/Website,Solutions Architect,Healthcare,1001-5000,Attended,5,4,6,No,1.66
